,Player,Role,Amount,Team,Year,Player Origin
384,Josh Hazlewood,Bowler,77500000,Royal Challengers Bangalore,2022.0,Overseas
387,Krishnappa Gowtham,All-Rounder,9000000,Lucknow Super Giants,2022.0,Indian
389,Bhagath Varma,All-Rounder,2000000,Chennai Super Kings,2022.0,Indian
391,KC Cariappa,Bowler,3000000,Rajasthan Royals,2022.0,Indian
395,KM Asif,Bowler,2000000,Chennai Super Kings,2022.0,Indian
396,Srikar Bharat,Wicket Keeper,20000000,Delhi Capitals,2022.0,Indian
399,Kagiso Rabada,Bowler,92500000,Punjab Kings,2022.0,Overseas
401,Kamlesh Nagarkoti,All-Rounder,11000000,Delhi Capitals,2022.0,Indian
409,Karn Sharma,All-Rounder,2000000,Lucknow Super Giants,2022.0,Indian
414,Karan Sharma,Bowler,5000000,Royal Challengers Bangalore,2022.0,Indian
416,Kartik Tyagi,Bowler,40000000,Sunrisers Hyderabad,2022.0,Indian
421,Karun Nair,Batsman,14000000,Rajasthan Royals,2022.0,Indian
442,Krunal Pandya,All-Rounder,82500000,Lucknow Super Giants,2022.0,Indian
444,Kuldeep Sen,Bowler,2000000,Rajasthan Royals,2022.0,Indian
447,Kuldeep Yadav,Bowler,20000000,Delhi Capitals,2022.0,Indian
449,Kuldeep Yadav,Bowler,2000000,Rajasthan Royals,2022.0,Indian
456,Kyle Mayers,All-Rounder,5000000,Lucknow Super Giants,2022.0,Overseas
459,Lalit Yadav,All-Rounder,6500000,Delhi Capitals,2022.0,Indian
465,Liam Livingstone,All-Rounder,115000000,Punjab Kings,2022.0,Overseas
468,Lockie Ferguson,Bowler,100000000,Gujarat Titans,2022.0,Overseas
472,Lungi Ngidi,Bowler,5000000,Delhi Capitals,2022.0,Overseas
473,Luvnith Sisodia,Wicket Keeper,2000000,Royal Challengers Bangalore,2022.0,Indian
482,Maheesh Theekshana,Bowler,7000000,Chennai Super Kings,2022.0,Overseas
485,Mahipal Lomror,All-Rounder,9500000,Royal Challengers Bangalore,2022.0,Indian
489,Manan Vohra,Batsman,2000000,Lucknow Super Giants,2022.0,Indian
492,Mandeep Singh,Batsman,11000000,Delhi Capitals,2022.0,Indian
495,Manish Pandey,Batsman,46000000,Lucknow Super Giants,2022.0,Indian
507,Marco Jansen,All-Rounder,42000000,Sunrisers Hyderabad,2022.0,Overseas
513,Mark Wood,Bowler,75000000,Lucknow Super Giants,2022.0,Overseas
518,Matthew Wade,Wicket Keeper,24000000,Gujarat Titans,2022.0,Overseas
523,Mayank Markande,Bowler,6500000,Mumbai Indians,2022.0,Indian
524,Mayank Yadav,Bowler,2000000,Lucknow Super Giants,2022.0,Indian
537,Mitchell Marsh,All-Rounder,65000000,Delhi Capitals,2022.0,Overseas
540,Mitchell Santner,All-Rounder,19000000,Chennai Super Kings,2022.0,Overseas
548,Mohammad Nabi,All-Rounder,10000000,Kolkata Knight Riders,2022.0,Overseas
552,Mohammed Shami,Bowler,62500000,Gujarat Titans,2022.0,Indian
556,Arshad Khan,All-Rounder,2000000,Mumbai Indians,2022.0,Indian
564,Mohsin Khan,Bowler,2000000,Lucknow Super Giants,2022.0,Indian
573,Mukesh Choudhary,Bowler,2000000,Chennai Super Kings,2022.0,Indian
579,Murugan Ashwin,Bowler,16000000,Mumbai Indians,2022.0,Indian
583,Mustafizur Rahman,Bowler,20000000,Delhi Capitals,2022.0,Overseas
586,Narayan Jagadeesan,Wicket Keeper,2000000,Chennai Super Kings,2022.0,Indian
587,Tilak Varma,All-Rounder,17000000,Mumbai Indians,2022.0,Indian
596,Nathan Coulter-Nile,Bowler,20000000,Rajasthan Royals,2022.0,Overseas
597,Nathan Ellis,Bowler,7500000,Punjab Kings,2022.0,Overseas
604,Navdeep Saini,Bowler,26000000,Rajasthan Royals,2022.0,Indian
606,Nicholas Pooran,Wicket Keeper,107500000,Sunrisers Hyderabad,2022.0,Overseas
615,Nitish Rana,All-Rounder,80000000,Kolkata Knight Riders,2022.0,Indian
616,Noor Ahmad,Bowler,3000000,Gujarat Titans,2022.0,Overseas
617,Obed McCoy,Bowler,7500000,Rajasthan Royals,2022.0,Overseas
618,Odean Smith,All-Rounder,60000000,Punjab Kings,2022.0,Overseas
633,Pat Cummins,All-Rounder,72500000,Kolkata Knight Riders,2022.0,Overseas
653,Prabhsimran Singh,Wicket Keeper,6000000,Punjab Kings,2022.0,Indian
656,Pradeep Sangwan,All-Rounder,2000000,Gujarat Titans,2022.0,Indian
662,Prashant Solanki,Bowler,12000000,Chennai Super Kings,2022.0,Indian
663,Prasidh Krishna,Bowler,100000000,Rajasthan Royals,2022.0,Indian
665,Pratham Singh,Batsman,2000000,Kolkata Knight Riders,2022.0,Indian
672,Praveen Dubey,All-Rounder,5000000,Delhi Capitals,2022.0,Indian
678,Prerak Mankad,All-Rounder,2000000,Punjab Kings,2022.0,Indian
683,Priyam Garg,Batsman,2000000,Sunrisers Hyderabad,2022.0,Indian
687,Quinton de Kock,Wicket Keeper,67500000,Lucknow Super Giants,2022.0,Overseas
688,Ravikumar Samarth,Batsman,2000000,Sunrisers Hyderabad,2022.0,Indian
689,R. Ashwin,All-Rounder,50000000,Rajasthan Royals,2022.0,Indian
691,Sai Kishore,Bowler,30000000,Gujarat Titans,2022.0,Indian
694,Rahul Buddhi,Batsman,2000000,Mumbai Indians,2022.0,Indian
697,Rahul Chahar,Bowler,52500000,Punjab Kings,2022.0,Indian
