,player,average_batting_performance_index,average_bowling_performance_index
0,Ashish Reddy,0.194311666320212,4.02723204227676
1,Ayush Badoni,0.3225959759531102,8.094221636021315
2,Ajit Chandila,0.0,5.092757627345946
3,Agni Chopra,0.1160278794142498,0.0
4,Aniket Choudhary,0.1449001236340825,5.2341650056860765
5,Akila Dananjaya,0.0,0.2465613313718794
6,Andrew Flintoff,0.1127512789219768,2.815775326390074
7,Anshul Kamboj,0.0,3.966701925859412
8,Anil Kumble,0.0424016411512788,3.404778502328472
9,Abhinav Manohar,0.203092719628108,0.0
10,Amit Mishra,0.2167413134004661,3.111708349908609
11,Abhimanyu Mithun,0.1162383778574849,1.4179703872849718
12,Abhinav Mukund,0.0194412328641721,0.0
13,Ashish Nehra,0.0153746793862189,3.742243814652603
14,Andre Nel,0.0,1.4975395996225809
15,Anrich Nortje,0.064754155448038,3.0159451086715627
16,Angkrish Raghuvanshi,0.2008998859525667,0.0
17,Anmolpreet Singh,0.0,4.2405921773546185
18,Andrew Symonds,0.3960908028655475,3.718089957048934
19,Amit Uniyal,0.0,4.68773688630785
20,Adam Zampa,0.0778723870392878,4.741970348154374
21,Azhar Bilakhia,0.1339534928151021,0.0
22,Ankeet Chavan,0.0,1.972879341007232
23,Abhishek Jhunjhunwala,0.1680755734338437,0.3087283284438716
24,Ashley Noffke,0.0,6.020177083974664
25,Ajit Agarkar,0.2552021395990697,2.099528859227659
26,Adrian Barath,0.019153950087447,0.0
27,Ashok Dinda,0.0317429871741501,3.0784956100562795
28,Andrew McDonald,0.1028440331287674,4.616229179628005
29,AB de Villiers,0.9902123149267752,0.0
30,Aiden Blizzard,0.2225268665943427,0.0
31,Adam Gilchrist,0.6201084045591423,0.0
32,AC Thomas,0.0,3.2627353370701613
33,Adam Voges,0.2440887985658358,2.1283114837837207
34,Alex Hales,0.1568264389397939,0.0
35,Dimitri Mascarenhas,0.1159359359906285,3.84572562252172
36,Angelo Mathews,0.4139692708861608,2.340594389824325
37,AD Nath,0.0889819680962245,0.0
38,Andre Russell,0.6753801422329768,3.683079844924072
39,Adam Milne,0.042592760339812,4.91966432343327
40,Ali Murtaza,0.0,2.815387565181663
41,Amit Paunikar,0.160440558355346,0.0
42,Aaron Finch,0.5062972398233717,0.6126970868412788
43,Akeal Hosein,0.0,0.7626999854408283
44,Ashton Turner,0.1138114195559299,0.0
45,Andrew Tye,0.1533822393903422,5.307158372404135
46,Aiden Markram,0.5209189837851655,0.718009030601105
47,Ashok Menaria,0.1857596925167922,1.5465140059741522
48,Abhishek Nayar,0.2478575229359245,2.2774131591519926
49,Ajinkya Rahane,0.6852194242289271,0.0
50,Aavishkar Salvi,0.0,3.573278059576281
51,Anwar Ahmed,0.0,3.2993758765091776
52,Aditya Dole,0.2096473353330549,3.5739143362186856
53,Anustup Majumdar,0.1607892371533345,0.0
54,Aditya Tare,0.1823400871139712,0.0
55,Axar Patel,0.4349324977649468,2.373348883205794
56,Alzarri Joseph,0.0,2.828186618772914
57,Ankit Rajpoot,0.0097055493948288,2.9495687850998995
58,Abhishek Raut,0.0980876829268665,0.2031337000797878
59,Anukul Roy,0.0523091106530302,3.508309944152109
60,Ashish Yadav,0.1120987480996712,0.0
61,Nicola Carey,0.0352024981410852,0.0
62,Ambati Rayudu,0.6527560160335457,0.0
63,Haroon Rashid,0.0,3.2263910669666647
64,Asad Pathan,0.0935249803743591,0.2056831656949676
65,Abdul Samad,0.3155716585507819,5.36975339840878
66,Abhishek Sharma,0.4917598142509982,3.080487248222165
67,Abishek Porel,0.325429618932016,0.0
68,Akash Deep,0.0,2.137212169975576
69,Akash Madhwal,0.0,6.0404172502
70,Akash Singh,0.0,2.508195091478988
71,Aman Khan,0.1354859188242188,0.0
72,Anand Rajan,0.0,3.41973109712069
73,Anirudh Singh,0.1554255590011878,0.0
74,Ankit Sharma,0.1438325446268588,1.599167924451156
75,Ankit Soni,0.0,2.468761541227318
76,Anmolpreet Singh,0.1836351035785621,0.0
77,Anuj Rawat,0.0979798639816876,0.0
78,Anureet Singh,0.0418040044773189,1.9931424659031705
79,Arjun Tendulkar,0.0,2.869470280602835
80,Arshad Khan,0.0563073081284851,3.0042176946400025
81,Arshdeep Singh,0.0709447059322851,3.684807798699707
82,Ashutosh Sharma,0.166387387858424,0.0
83,Atharva Taide,0.2252323589106055,0.0
84,Avesh Khan,0.4803230704354783,3.618683196434755
85,Azhar Mahmood,0.2870937821853596,3.920631593240203
86,Azmatullah Omarzai,0.0657005770707331,2.2847554897517366
87,Balachandra Akhil,0.1228754336227392,1.7764042368288635
88,Bharat Chipli,0.1904958534471611,0.0
89,Brett Geeves,0.0,2.253977925765868
90,Baba Aparajith,0.1025550955047106,0.0
91,Bhuvneshwar Kumar,0.1174174175815428,2.6341584369601527
92,Ben Laughlin,0.0,3.747247429152375
93,Brett Lee,0.1871120089510805,2.003726137566554
94,Sai Sudharsan,0.4648819900941929,0.0
95,Billy Stanlake,0.0,3.3959296692800502
96,Bodapati Sumanth,0.0392499733156427,0.0
97,Bhargav Bhatt,0.0,3.92458092429073
98,Ben Stokes,0.3950056826282709,2.088790322797623
99,Ajantha Mendis,0.0,3.757544816287522
100,Brendon McCullum,0.6019822521683812,0.0
101,Biplab Samantray,0.2151648604232821,0.0
102,Barinder Sran,0.0,2.654092154028564
103,Ben Cutting,0.3542585742838532,1.2289583558438129
104,Beuran Hendricks,0.0,5.254292478595416
105,Brad Hodge,0.4616801377255195,4.03724725129322
106,Ben Rohrer,0.1737363600801365,0.0
107,Balapuwaduge Manukulasuriya Amith Jeevan Mendis,0.1049363128347993,4.539589248552329
108,Ben Dunk,0.1320958308359812,0.0
109,Ben Hilfenhaus,0.0,4.832562860788587
110,Basil Thampi,0.0192941601276061,2.8881319282901976
111,Bipul Sharma,0.1849222101406298,3.129904639809622
112,Chris Green,0.4334526806863268,2.4053310231022924
113,Chandan Madan,0.0,0.0
114,Colin Munro,0.1464553701063467,0.0
115,Chetanya Nanda,0.0,7.621129518083283
116,Chetan Sakariya,0.1701074617340787,2.937036112596955
117,Colin de Grandhomme,0.2529595625589951,3.2618179609203453
118,Colin Ingram,0.1316885252767849,0.0
119,Chris Lynn,0.6017500567156919,0.0
120,Cheteshwar Pujara,0.2921868157527256,0.0
121,Chris Gayle,0.9840222248152364,2.9485612189097425
122,Chris Morris,0.2295288540433586,2.891496665744015
123,Corey Anderson,0.293640918416949,3.003031119505488
124,Junior Dala,0.0,0.2477322532497812
125,CJ Ferguson,0.1004842234550941,0.0
126,Chris Jordan,0.184278614506829,2.8619210651437013
127,Clint McKay,0.0,2.080697462962987
128,Chamara Kapugedera,0.0614110391523018,0.0
129,Charl Langeveldt,0.0,6.840550745265093
130,Cameron White,0.3972693155912617,3.907358867285316
131,CM Gautam,0.1912234258866522,0.0
132,Carlos Brathwaite,0.2230480790408894,5.933237077594058
133,Chris Woakes,0.1029061758355536,3.3124272727284576
134,Dilhara Fernando,0.0,6.753419726931563
135,Varun Chakravarthy,0.0749684501691344,2.719703385410391
136,Dewald Brevis,0.1995330097171423,0.0
137,Duan Jansen,0.0,1.0595529455395678
138,Doddapaneni Kalyankrishna,0.0,1.5716022538139642
139,Devdutt Padikkal,0.4380489893706588,0.0
140,Dewald Pretorius,0.2188574511506122,4.588029084465292
141,Dinesh Salunkhe,0.2042151734991386,1.857697011745461
142,David Wiese,0.376747810397139,3.488757730492132
143,Dillon du Preez,0.0,12.68248830878673
144,David Miller,0.6181255492576094,0.0
145,David Warner,0.8955292082744288,0.0
146,John Bracewell,0.0,8.014463371809642
147,Debabrata Das,0.2675111010904321,0.0
148,Ravi Teja,0.1402657992101355,3.6131380875498897
149,Doug Bollinger,0.040438312207613,4.724388387278658
150,Darshan Nalkande,0.0,6.543086694364908
151,Dishant Yagnik,0.2453938552433416,0.0
152,Dwayne Bravo,0.3614897412542626,2.816304033455739
153,DJ Harris,0.1717256023671074,0.2066910985805514
154,Deepak Hooda,0.369414535991331,1.2510262462824338
155,David Hussey,0.4075690025570316,3.151085296647771
156,DJ Jacobs,0.0999667538495296,0.0
157,Dawid Malan,0.1760966339708242,0.0
158,Daryl Mitchell,0.2169092581371314,2.039232806255878
159,Domnic Muthuswami,0.0,7.248264985483927
160,Dominic Thornely,0.2127186198990813,6.344203981977421
161,David Willey,0.1346332297803724,3.0644694003673623
162,Daren Sammy,0.3466424061717438,4.199481848342871
163,D'Arcy Short,0.2696426252462175,5.285462381089382
164,Deepak Chahar,0.2438022881513919,3.5302897626178904
165,Daniel Vettori,0.1733145501695575,2.81819761319241
166,Nuwan Zoysa,0.0,1.0178309787629636
167,Devon Conway,0.5491273438226489,0.0
168,Dirk Nannes,0.0,3.5681808222186238
169,Paidikalva Vijaykumar,0.0,1.853289836603553
170,Mahela Jayawardene,0.4988955587605084,0.0
171,Damien Martyn,0.1681406158666095,0.0
172,DR Sams,0.0269793229378902,5.840483696262725
173,Dhruv Shorey,0.0934950824450291,0.0
174,DR Smith,0.7352505698233792,3.569969320957587
175,DS Kulkarni,0.1389751576792929,2.3850875922712875
176,Jake Lehmann,0.0857324811827832,0.0
177,Dan Christian,0.1899275026671207,2.40186605156892
178,Dale Steyn,0.1717359302897211,2.8536576497437194
179,Dhruv Jurel,0.2258964415849772,0.0
180,Evin Lewis,0.2950977135492579,0.0
181,Eoin Morgan,0.3820611032199272,0.0
182,Faf du Plessis,0.8067699108803225,0.0
183,Fabian Allen,0.0178763985705581,4.072123822456797
184,Fidel Edwards,0.0,4.651644726560525
185,Faiz Fazal,0.3936246751010567,0.0
186,Fazalhaq Farooqi,0.0,1.9546907983356692
187,Gerald Coetzee,0.0301783284235349,4.793576536214545
188,Gautam Gambhir,0.7155503652395646,0.0
189,Brad Hogg,0.175979516308309,3.550235926123825
190,Graeme Smith,0.542932205364786,0.0
191,Hardus Viljoen,0.0,3.3438179045202427
192,Glenn McGrath,0.0,2.5058763611616426
193,Glenn Phillips,0.124531395136477,4.7595398507282685
194,Hanuma Vihari,0.1753464771092144,4.348479852914938
195,George Garton,0.0,1.0482882676894445
196,George Bailey,0.3934860344676745,0.0
197,Glenn Maxwell,0.5771630422118834,3.4993735337580123
198,Graham Napier,0.0,5.73889320220842
199,Gurinder Sandhu,0.0,0.6691448414550396
200,Gagandeep Singh,0.0,1.956703933956507
201,Gurkeerat Singh Mann,0.3179848062720092,3.1306703524909016
202,Gurnoor Brar,0.0,0.2423389130012328
203,Heinrich Klaasen,0.6251525819619682,0.0
204,Himanshu Sharma,0.0,0.2510273252925007
205,Harry Brook,0.1065246475646962,0.0
206,Rassie van der Dussen,0.0,0.0
207,Harry Gurney,0.0,3.683558673898777
208,Herschelle Gibbs,0.4074988067670089,0.0
209,Hardik Pandya,0.6040303353491405,2.711874129272385
210,Hashim Amla,0.3086194627027661,0.0
211,Hrithik Shokeen,0.1333204082785869,2.007713559703375
212,Harshal Patel,0.1759718007975069,2.833987701348448
213,Harbhajan Singh,0.2923378293036492,3.4991416520828804
214,Harmeet Singh,0.0,4.410505609732188
215,Harpreet Brar,0.2642769263446873,3.588086445339696
216,Harpreet Singh,0.1744637275946554,0.0
217,Harshit Rana,0.0,4.778158277451841
218,Ishant Sharma,0.0119609532344584,2.398908769238697
219,Isuru Udana,0.0,2.297839532673565
220,Ishwar Pandey,0.0,2.4321707799200465
221,Abishek Porel,0.0,8.629945093929896
222,Irfan Pathan,0.3453081160442958,2.1884626097203457
223,Ishank Jaggi,0.1251292482319216,0.0
224,Ish Sodhi,0.0,4.904301136569897
225,Imran Tahir,0.0877477800046338,3.219370148396796
226,Iqbal Abdulla,0.652754456594416,3.226265192015055
227,Ishan Kishan,0.6235585211298902,0.0
228,Jagadeesh Arunkumar,0.2398403733667544,0.0
229,Johan Botha,0.2042881207113925,2.439287668423261
230,Jake Fraser-McGurk,0.3921433120757229,0.0
231,Josh Little,0.0,3.951131712135832
232,Jagadeesha Suchith,0.0707863890122689,4.322442042290693
233,Jamaluddin Syed Mohammad,0.238594612220201,2.380025000297788
234,Rusty Theron,0.0,4.53320923948627
235,Jayant Yadav,0.3549707459460074,1.2102546517926531
236,Morne Morkel,0.3859124128430309,2.555410338891878
237,Jhye Richardson,0.0496617441240602,2.929233246301686
238,JC Archer,0.1522798869542867,3.3820741956372498
239,Jos Buttler,0.824461806262207,0.0
240,Jesse Ryder,0.3365960844642339,2.6293288602497795
241,Jaydev Unadkat,0.231501257068232,2.854433248793501
242,Jacob Oram,0.0732566416085962,2.8878371052185914
243,James Neesham,0.128124067152275,2.531555024981905
244,Jerome Taylor,0.0,3.035594706848109
245,James Franklin,0.2383592248627396,4.233878847399699
246,Jacques Kallis,0.5746918852787728,2.0212955836894566
247,Jasprit Bumrah,0.0583630215115004,3.139867401344876
248,Jason Roy,0.3229242288387468,0.0
249,Johan van der Wath,0.0,4.988364691565509
250,James Pattinson,0.0,4.039327363836191
251,David Bairstow,0.6743580719444928,0.0
252,John Kemp,0.2613980167145723,4.0256228620816525
253,Jitesh Sharma,0.3432336910276978,0.0
254,Jason Holder,0.1357068214744319,2.8345729614445063
255,Jason Behrendorff,0.0,4.59205425187626
256,Jean-Paul Duminy,0.6586754128834486,1.8000442197386457
257,James Faulkner,0.2795103997150387,2.142423361876919
258,Javon Searles,0.0,0.995263370317068
259,Josh Hazlewood,0.0,4.648494275725329
260,James Hopes,0.2307744917039846,2.221656064510477
261,Josh Philippe,0.114278133889709,0.0
262,John Hastings,0.0,3.5824874578527712
263,Jatin Saxena,0.0,0.2393266041390195
264,Jaskaran Singh,0.0,4.651596028256567
265,Joginder Sharma,0.0533815494228152,3.941608765914438
266,Karan Goel,0.280902076616163,0.2384016193933811
267,Krishnappa Gowtham,0.1522076785191813,2.449547061885512
268,Kumar Kartikeya,0.0,2.690684820789012
269,Kulwant Khejroliya,0.0,1.5198396643575849
270,Kagiso Rabada,0.1705920533176972,3.2826519508177703
271,Krishmar Santokie,0.0,5.13944847672917
272,Krishnakant Upadhyay,0.0,0.2205348098022368
273,Kuldeep Yadav,0.0,1.7769965596556114
274,Kyle Jamieson,0.1330968250248089,3.7960712369462937
275,Keshav Maharaj,0.0,3.863067898133305
276,Kieron Pollard,0.7274198700872849,2.8125214500269373
277,Kemar Roach,0.0,0.1961471415488612
278,Arun Karthik,0.139937332773948,0.0
279,KC Cariappa,0.010728537276113,2.755107852872638
280,Kumar Sangakkara,0.5144142532462828,0.0
281,Dinesh Karthik,0.6692968850924614,0.0
282,Hardik Pandya,0.5415263023643558,3.0469026559967998
283,Kyle Abbott,0.0,4.466025175082995
284,Khaleel Ahmed,0.0,3.3649349940584186
285,Kevon Cooper,0.2206614498078539,2.9980207607127465
286,Karun Nair,0.5079588955919339,0.0
287,Kamlesh Nagarkoti,0.035661966645057,3.0258038480440623
288,KL Rahul,0.9930843472604184,0.0
289,KM Asif,0.0,4.287469758194033
290,KM Jadhav,0.3685677820989575,0.0
291,Keemo Paul,0.1104809099930962,3.011671992035563
292,Nuwan Kulasekara,0.0,3.690810455651905
293,KP Appanna,0.0,3.978732947576571
294,Kevin Pietersen,0.472284890015671,3.8992486908136734
295,Kyle Mayers,0.2693338598593064,0.2284514023092222
296,Khokhan Sen,0.0,6.5488446716237965
297,Srikar Bharat,0.2249524232965142,0.0
298,KS Sharma,0.1084020594920154,0.0
299,Kane Williamson,0.657132541616509,0.2123430969604273
300,Kwena Maphaka,0.0,0.7485476799839321
301,Karn Sharma,0.2725225514986058,3.649747498206984
302,Kane Richardson,0.06892864859174,4.872315818950556
303,Kamran Akmal,0.1573319164104054,0.0
304,Kamran Khan,0.0,6.294793064680284
305,Karanveer Singh,0.0,3.2321747842558857
306,Kartik Tyagi,0.0,2.321071177311014
307,Kuldeep Yadav,0.0724143015792344,2.655482794014694
308,Love Ablish,0.0,6.029026868014316
309,Lakshmipathy Balaji,0.0533516717410852,2.723863022406602
310,Lungi Ngidi,0.0,4.141065205030546
311,Luke Ronchi,0.0685240054410948,0.0
312,Luke Wood,0.0,0.5294312731860525
313,Lee Andrew Carseldine,0.137163031608598,0.0
314,Luke Pomersbach,0.2946012996166722,0.0
315,Lizaad Williams,0.0,3.975679820506869
316,Liam Plunkett,0.0,2.1915287065847724
317,Lockie Ferguson,0.1302960905759395,3.6326893520496912
318,Lukman Meriwala,0.0,1.2659237524516045
319,Luke Wright,0.4536002670058809,3.31607152621451
320,Phil Simmons,0.5449871401206564,0.9763233459937256
321,Lindamlilage Prageeth Chamara Silva,0.0395512444082566,0.0
322,Laxmi Shukla,0.3027366431707112,2.8482652508817683
323,Ross Taylor,0.3867273194923203,0.0
324,Liam Livingstone,0.3895561709624699,3.700852070538682
325,Lalit Yadav,0.1879065193370898,4.436082836802113
326,Murugan Ashwin,0.0815102171548106,3.0358774043381573
327,Marco Jansen,0.13731665384073,4.43222943635711
328,Mohammad Kaif,0.1565489937487403,0.0
329,Murali Kartik,0.0719420590344058,2.196461127607724
330,Michael Klinger,0.0347339558279923,0.0
331,Mithun Manhas,0.2151966586601671,0.221606401859406
332,Mayank Markande,0.2376739346276714,2.783104804588956
333,Morne Morkel,0.1457452410785187,3.153392360137107
334,Muthiah Muralidaran,0.0207590311119595,3.135862212634234
335,Makhaya Ntini,0.6937880454712138,3.961978550942493
336,Matheesha Pathirana,0.0,4.595174848186268
337,Prasidh Krishna,0.0,2.77216635609335
338,Mayank Rawat,0.0384558342352106,0.0
339,M Shahrukh Khan,0.2471934509348019,0.0
340,Manimaran Siddharth,0.0,1.193138675766505
341,Maheesh Theekshana,0.0,3.506803146992349
342,Murali Vijay,0.5279319695532282,0.2380973315397053
343,Manan Vohra,0.3518132780852723,0.0
344,Marchant de Lange,0.0,4.403040871557472
345,Mayank Agarwal,0.5046758732817829,0.0
346,Musavir Khote,0.1614398292098447,2.0831440433388773
347,Mitchell Starc,0.1823814820649862,4.136109898171023
348,MA Wood,0.0,5.912001204374553
349,MB Parmar,0.0,0.2532197501403705
350,Moises Henriques,0.3614175617029065,2.869077383866856
351,Manprit Juneja,0.172748596882266,0.0
352,MD Mishra,0.230963563605822,0.0
353,Dasun Shanaka,0.0333334559268864,0.0
354,Michael Hussey,0.5697054905089186,0.0
355,Farveez Maharoof,0.2771780919025373,5.48051649542189
356,Doug Bracewell,0.0578649073374591,10.247940519596922
357,Mitchell Johnson,0.2351691012899653,3.22379549011952
358,Michael Neser,0.0,0.2462205468049686
359,Michael Clarke,0.2717899293237176,4.6141076816862086
360,Martin Guptill,0.2023360677218728,0.0
361,Matt Henry,0.0,2.234618963069464
362,Michael Lumb,0.2964983307726452,0.0
363,Mitchell McClenaghan,0.0548705074980376,2.972378084569051
364,Mitchell Santner,0.2559919086326586,4.701965751446906
365,Mahipal Lomror,0.3100915016600614,0.8446657956093508
366,MK Pandey,0.5601590695769628,0.0
367,Manoj Tiwary,0.5073383104103049,1.6167179417946411
368,Matthew Hayden,0.5672216162783148,0.0
369,Moeen Ali,0.3999136159512264,3.755722964907989
370,Munaf Patel,0.0084033796781672,2.996295257900253
371,Mohit Sharma,0.0700306489810409,3.188538278509751
372,Marlon Samuels,0.1577408771366519,3.058294557771494
373,Morne van Wyk,0.3421018750015935,0.0
374,Marcus Stoinis,0.6949326890378227,1.967065208180396
375,MP Yadav,0.0,9.36842314198485
376,Shaun Marsh,0.2854045950309734,4.558027690458392
377,Manvinder Bisla,0.3916282571605922,0.0
378,MS Dhoni,0.8039220377649041,0.0
379,Manpreet Gony,0.1058124191452183,2.488080701583294
380,Matthew Wade,0.1432378540799693,0.0
381,Mark Boucher,0.2437257419944589,0.0
382,Matthew Short,0.095479727601666,0.276696830176959
383,Mandeep Singh,0.4014174734110816,0.0
384,Mashrafe Mortaza,0.0,8.292991149844443
385,Mayank Dagar,0.0,1.3087247111020113
386,Misbah-ul-Haq,0.1210622020645921,0.0
387,Mohammad Asif,0.0,2.5695875593233546
388,Mohammad Hafeez,0.1323292998505287,1.6754366796954254
389,Mohammad Nabi,0.2034345302717904,3.951115753018913
390,Mohammed Shami,0.0665100059401334,2.928464541395606
391,Mohammed Siraj,0.2080031224201208,2.421837801837564
392,Mohsin Khan,0.020489981803698,4.18231615039714
393,Mujeeb Ur Rahman,0.0,3.693712306552656
394,Mukesh Choudhary,0.0,5.628585215259215
395,Mukesh Kumar,0.0363448630702365,3.75843385830349
396,Mustafizur Rahman,0.0361613811290598,4.046098791225793
397,Nandre Burger,0.0,6.746987761532561
398,Narayan Jagadeesan,0.1583346251582847,0.0
399,Nicholas Pooran,0.5444382185239764,0.0
400,Nahid Rana,0.5644305588300514,4.448671244461452
401,Nitin Saini,0.1671763568185738,0.0
402,Nuwan Thushara,0.0,2.8122983474779284
403,Nehal Wadhera,0.2781263751093351,0.0
404,NB Singh,0.0,6.620386289337903
405,Nayan Doshi,0.0,3.7973121971037935
406,Nic Maddinson,0.1033301844698318,0.0
407,Nathan Rimmington,0.0,0.1795266964220963
408,NK Patel,0.0831527208858516,0.0
409,Brendon McCullum,0.0505717485521486,0.1937765617032716
410,Thisara Perera,0.2169647250234618,3.183420602054935
411,Nathan Coulter-Nile,0.0981843939597485,4.066655994523826
412,NS Naik,0.0570501923862984,0.0
413,Nathan Ellis,0.1008191220998307,4.235860656748667
414,Naman Ojha,0.4374323955035725,0.0
415,Naman Dhir,0.1535802769101886,0.2465253865396572
416,Navdeep Saini,0.0836206386155201,2.59058470754541
417,Naveen-ul-Haq,0.136859711100457,2.60559431623701
418,Nitish Kumar Reddy,0.3167863387666483,3.4254233825944205
419,Noor Ahmad,0.0410407442816509,4.985229970336824
420,Oshane Thomas,0.0,3.824819034670908
421,Owais Shah,0.3155904959800459,0.0
422,Obed McCoy,0.0,4.490655817973619
423,Odean Smith,0.0236325140801604,4.648691554859533
424,Palani Amarnath,0.0,2.1365166437870577
425,Parvinder Awana,0.0,3.695312226242484
426,Paras Dogra,0.197146558033675,0.0
427,Praveen Dubey,0.0713626560155493,0.6297124403331866
428,Parveen Kumar,0.1808096427786257,2.467897466604065
429,Pawan Negi,0.2475113804802123,3.416014706512665
430,P Parameswaran,0.0,3.5115252848735072
