,Player,Role,Amount,Player Origin,average_batting_performance_index,average_bowling_performance_index
77,Manan Vohra,Batsman,2000000,Indian,0.0,0.0
78,Mandeep Singh,Batsman,11000000,Indian,0.0,0.0
79,Marco Jansen,All-Rounder,42000000,Overseas,0.5109905565064,0.5109905565064
80,Matthew Wade,Wicket Keeper,24000000,Overseas,0.0,0.0
81,Mayank Markande,Bowler,6500000,Indian,0.3208634149773204,0.3208634149773204
82,Mitchell Santner,All-Rounder,19000000,Overseas,0.5420883847521794,0.5420883847521794
83,Mohammad Nabi,All-Rounder,10000000,Overseas,0.4555230875222377,0.4555230875222377
84,Mohammed Shami,Bowler,62500000,Indian,0.33762190049144203,0.33762190049144203
85,Arshad Khan,All-Rounder,2000000,Indian,0.3463554614429446,0.3463554614429446
86,Mohsin Khan,Bowler,2000000,Indian,0.4821781200328973,0.4821781200328973
87,Mukesh Choudhary,Bowler,2000000,Indian,0.6489180970407838,0.6489180970407838
88,Murugan Ashwin,Bowler,16000000,Indian,0.350005500979433,0.350005500979433
89,Mustafizur Rahman,Bowler,20000000,Overseas,0.46647365681223685,0.46647365681223685
90,Narayan Jagadeesan,Wicket Keeper,2000000,Indian,0.0,0.0
91,Tilak Varma,All-Rounder,17000000,Indian,0.027546080673392537,0.027546080673392537
92,Nathan Coulter-Nile,Bowler,20000000,Overseas,0.4688436913296987,0.4688436913296987
93,Nathan Ellis,Bowler,7500000,Overseas,0.48835125197277157,0.48835125197277157
94,Navdeep Saini,Bowler,26000000,Indian,0.2986678240361159,0.2986678240361159
95,Nicholas Pooran,Wicket Keeper,107500000,Overseas,0.0,0.0
96,Noor Ahmad,Bowler,3000000,Overseas,0.5747458414401339,0.5747458414401339
97,Obed McCoy,Bowler,7500000,Overseas,0.5177265185511387,0.5177265185511387
98,Odean Smith,All-Rounder,60000000,Overseas,0.5359464167533413,0.5359464167533413
99,Pat Cummins,All-Rounder,72500000,Overseas,0.23553918644268287,0.23553918644268287
100,Prabhsimran Singh,Wicket Keeper,6000000,Indian,0.0,0.0
101,Pradeep Sangwan,All-Rounder,2000000,Indian,0.30793388559572793,0.30793388559572793
102,Prashant Solanki,Bowler,12000000,Indian,0.2994346779487629,0.2994346779487629
103,Prasidh Krishna,Bowler,100000000,Indian,0.31960232415060535,0.31960232415060535
104,Praveen Dubey,All-Rounder,5000000,Indian,0.0725993802769673,0.0725993802769673
105,Prerak Mankad,All-Rounder,2000000,Indian,0.0,0.0
106,Priyam Garg,Batsman,2000000,Indian,0.0,0.0
107,Quinton de Kock,Wicket Keeper,67500000,Overseas,0.0,0.0
108,Sai Kishore,Bowler,30000000,Indian,0.5958664808837627,0.5958664808837627
109,Rahul Chahar,Bowler,52500000,Indian,0.3730990199351472,0.3730990199351472
110,Rahul Tewatia,All-Rounder,90000000,Indian,0.3510359348342136,0.3510359348342136
111,Rahul Tripathi,Batsman,85000000,Indian,0.0,0.0
112,Rajvardhan Hangargekar,All-Rounder,15000000,Indian,0.3274308450736138,0.3274308450736138
113,Ramandeep Singh,All-Rounder,2000000,Indian,0.6615121453813236,0.6615121453813236
