,player,average_bowling_performance_index
182,JR Hazlewood,5.074255886503788
183,JR Hopes,3.333035121067115
184,JW Hastings,4.343362675426854
185,Jalaj S Saxena,
186,Jaskaran Singh,7.227630003299928
187,Joginder Sharma,5.3296736394411806
188,K Goel,
189,K Gowtham,3.207649989548309
190,K Kartikeya,4.957504336163207
191,K Khejroliya,3.951432851030222
192,K Rabada,3.32121232573334
193,K Santokie,7.659761973228904
194,K Upadhyay,
195,K Yadav,3.1727892580507557
196,KA Jamieson,5.306788360406028
197,KA Maharaj,10.82988383279081
198,KA Pollard,2.705559376274774
199,KAJ Roach,
200,KC Cariappa,3.8863595511295084
201,KH Pandya,3.3073702564280403
202,KJ Abbott,32.55715400801414
203,KK Ahmed,3.2510700401826247
204,KK Cooper,3.6985588689345015
205,KL Nagarkoti,6.536682528212061
206,KM Asif,6.054597259949857
207,KMA Paul,5.196639437767936
208,KMDN Kulasekara,4.267172031810939
209,KP Appanna,7.247374856980348
210,KP Pietersen,6.490868007127894
211,KR Mayers,
212,KR Sen,14.43136004097367
213,KS Williamson,
214,KT Maphaka,3.198485330233768
215,KV Sharma,3.8195894373218917
216,KW Richardson,5.7558612011043335
217,Kamran Khan,6.926370046862218
218,Karanveer Singh,3.9150508045463117
219,Kartik Tyagi,3.410504217109644
220,Kuldeep Yadav,2.7870478995799757
221,L Ablish,42.926651788726765
222,L Balaji,2.814387285135464
223,L Ngidi,4.460547909824135
224,L Wood,2.0650135452989575
225,LB Williams,29.97188094627858
226,LE Plunkett,8.87591052660762
227,LH Ferguson,3.903083694600835
228,LI Meriwala,1.538751629491858
229,LJ Wright,12.698900619678492
230,LMP Simmons,1.37660745344715
231,LR Shukla,4.966697148753594
232,LS Livingstone,6.932503053309326
233,Lalit Yadav,6.4218403217867195
234,M Ashwin,3.8217950964443217
235,M Jansen,5.4968321738246955
236,M Kartik,3.018164951520655
237,M Manhas,
238,M Markande,3.619197482950853
239,M Morkel,2.977573771210722
240,M Muralitharan,3.426204482932289
241,M Ntini,6.568588905973581
242,M Pathirana,5.146697543133146
243,M Prasidh Krishna,2.9491692532165263
244,M Siddharth,5.123129284467788
245,M Theekshana,5.183695747535089
246,M Vijay,
247,M de Lange,9.175031279053078
248,MA Khote,3.685701448144399
249,MA Starc,4.935829272251742
250,MA Wood,8.268318472613153
251,MB Parmar,
252,MC Henriques,3.016195583730571
253,MF Maharoof,4.957703298245767
254,MG Bracewell,28.9885364786905
255,MG Johnson,3.334545080469067
256,MG Neser,
257,MJ Clarke,11.569828811526962
258,MJ Henry,5.761887757813464
259,MJ McClenaghan,2.8153310975085013
260,MJ Santner,6.446656044264669
261,MK Lomror,6.394388641515682
262,MK Tiwary,27.076813015575016
263,MM Ali,4.678646515320444
264,MM Patel,2.9764228375869473
265,MM Sharma,3.108110260909088
266,MN Samuels,4.411342677629172
267,MP Stoinis,2.378146033868122
268,MP Yadav,10.695013556163362
269,MR Marsh,6.042834010976248
270,MS Gony,2.7519153150509603
271,MW Short,
272,Mashrafe Mortaza,
273,Mayank Dagar,8.068867559372062
274,Mohammad Asif,3.5963909070748157
275,Mohammad Hafeez,3.5463912219341935
276,Mohammad Nabi,5.105126938456721
277,Mohammed Shami,2.892286071905251
278,Mohammed Siraj,2.5032994410748133
279,Mohsin Khan,5.376080232954769
280,Mujeeb Ur Rahman,4.185017741960633
281,Mukesh Choudhary,7.1529352704381255
282,Mukesh Kumar,4.159754182560083
283,Mustafizur Rahman,3.94003091671474
284,N Burger,10.097865207458252
285,N Rana,7.0151468380260775
286,N Thushara,5.808911746072171
287,NB Singh,36.19833359181142
288,ND Doshi,13.660421478545702
289,NJ Rimmington,
290,NL McCullum,
291,NLTC Perera,3.3001651379153287
292,NM Coulter-Nile,4.297999964291963
293,NT Ellis,5.782872525939542
294,Naman Dhir,
295,Navdeep Saini,3.848738765962905
296,Naveen-ul-Haq,3.3364357874069093
297,Nithish Kumar Reddy,3.985184233296152
298,Noor Ahmad,5.434727807646174
299,O Thomas,6.447018100874876
300,OC McCoy,8.956910888145746
301,OF Smith,9.41720729932587
302,P Amarnath,3.429833399664932
303,P Awana,3.9680398869448825
304,P Dubey,2.9917483399240083
305,P Kumar,2.3807619503171926
306,P Negi,4.45370997392715
307,P Parameswaran,8.0504240053594
308,P Ray Barman,
309,P Sahu,3.607763781442717
310,P Suyal,7.473257831405726
311,PC Valthaty,3.6247444044874664
312,PD Collingwood,5.955373226659899
313,PH Solanki,4.568401649972038
314,PJ Cummins,2.377784839993211
315,PJ Sangwan,3.2544910259191897
316,PM Sarvesh Kumar,31.24740904891732
317,PP Chawla,2.999887157438377
318,PP Ojha,2.489307069065106
319,PV Tambe,3.3036796235076245
320,PVD Chameera,3.134551731906254
321,PWH de Silva,5.411657602593461
322,Pankaj Singh,3.692093299559207
323,Parvez Rasool,7.537919797316359
324,R Ashwin,2.5878558670513496
325,R Bhatia,3.0510409644269756
326,R Dhawan,3.023650530335841
327,R Goyal,
328,R McLaren,5.715913824504692
329,R Ninan,2.686795671923015
330,R Parag,7.218166767466562
331,R Powell,15.176274770546517
332,R Rampaul,6.980941157312448
333,R Sai Kishore,6.653301852973557
334,R Sathish,9.407984642006229
335,R Sharma,3.7706122009865912
336,R Shepherd,5.650876890719666
337,R Shukla,18.132913692640344
338,R Tewatia,3.3766336819685883
339,R Vinay Kumar,3.18981488799906
340,RA Jadeja,2.271200789727494
341,RD Chahar,3.3678509995342063
342,RE van der Merwe,5.7012227812066705
343,RG More,29.571322566472062
344,RG Sharma,5.274964053452394
345,RJ Gleeson,3.0104860307241257
346,RJ Harris,3.9344808742326136
347,RJ Peterson,7.740609051917044
348,RJW Topley,8.225209879258182
349,RN ten Doeschate,3.2327323379796673
350,RP Meredith,4.309959093217354
351,RP Singh,2.4320438102565105
352,RR Powar,3.2843950188253572
353,RR Raje,4.807927442541809
354,RS Bopara,6.287941143828177
355,RS Hangargekar,4.0019938416901315
356,RV Gomez,14.283370899608014
357,RV Patel,
358,RW Price,
359,Ramandeep Singh,6.491018922675194
360,Rashid Khan,2.8783701798866628
361,Rasikh Salam,5.469363368747487
362,Ravi Bishnoi,2.8211872792387513
363,S Aravind,5.821512443533991
364,S Badree,8.839285564953924
365,S Dhawan,6.107665631700031
366,S Dube,13.94500490376336
367,S Gopal,3.7880184880191257
368,S Joseph,
369,S Kaul,2.44205852088356
370,S Kaushik,12.895729265455694
371,S Ladda,2.0172040407885947
372,S Lamichhane,4.309419254435906
373,S Nadeem,2.7204585850011047
374,S Narwal,8.00586838598686
375,S Randiv,5.031607143870135
376,S Sandeep Warrier,6.00341948302379
377,S Sreesanth,3.1960904068279645
378,S Sriram,
379,S Tyagi,6.837754393624748
380,SA Abbott,3.4533425572874004
381,SB Bangar,4.024835452076273
382,SB Jakati,2.6370123831085728
383,SB Joshi,1.7788991108843415
384,SB Styris,6.273285102276959
385,SB Wagh,8.788659679385436
386,SC Ganguly,6.634837345904097
387,SC Kuggeleijn,2.4358509718795256
388,SD Chitnis,4.121915742594763
389,SE Bond,6.141926084044971
390,SE Rutherford,30.686802639330327
391,SH Johnson,4.033528512913573
392,SJ Srivastava,4.218338746630355
393,SK Raina,2.3116200364639052
394,SK Trivedi,2.4136979646365293
395,SK Warne,3.4000147064897717
396,SL Malinga,3.3437973009097286
397,SM Boland,3.5034077312799976
398,SM Curran,2.849542410972018
399,SM Harwood,7.3726963182845635
400,SM Pollock,6.548496538514825
401,SMSM Senanayake,6.757740704997207
402,SN Thakur,2.043345471271881
403,SP Narine,2.9484282716070487
404,SR Tendulkar,
405,SR Watson,2.389895987293705
406,SS Agarwal,2.710615723896974
407,SS Cottrell,40.81644948207685
408,SS Sarkar,26.229169576187225
409,SSB Magala,13.911537380725918
410,ST Jayasuriya,6.747994765225058
411,STR Binny,3.375876126973855
412,SW Tait,4.83047860704876
413,SZ Mulani,
414,Sandeep Sharma,2.4210909710046224
415,Shahbaz Ahmed,3.2602134578366337
416,Shahid Afridi,7.381224667568109
417,Shakib Al Hasan,2.8542637913386333
418,Shashank Singh,34.852037241023474
419,Shivam Mavi,3.7894935407182992
420,Shivam Sharma,13.617797588653538
421,Shoaib Ahmed,5.9151815784693245
422,Shoaib Akhtar,21.857827116107657
423,Shoaib Malik,23.458300737223585
424,Sikandar Raza,13.476896929576885
425,Simarjeet Singh,6.8161122776913015
426,Sohail Tanvir,8.160472642980467
427,Sumit Kumar,
428,Sunny Gupta,
429,Suyash Sharma,15.5488976077451
430,Swapnil Singh,8.800435694269892
431,T Henderson,4.873017534102218
