,Player,Role,Amount,Player Origin
209,Darshan Nalkande,All-Rounder,2000000,Indian
210,Daryl Mitchell,All-Rounder,7500000,Overseas
213,David Miller,Batsman,30000000,Overseas
215,David Warner,Batsman,62500000,Overseas
216,David Wiese,All-Rounder,28000000,Overseas
217,David Willey,All-Rounder,20000000,Overseas
218,Dawid Malan,All-Rounder,15000000,Overseas
219,Debabrata Das,Wicket Keeper,2000000,Indian
222,Deepak Chahar,Bowler,140000000,Indian
227,Deepak Hooda,All-Rounder,57500000,Indian
228,Deepak Punia,All-Rounder,1000000,Indian
230,Devdutt Padikkal,Batsman,77500000,Indian
231,Devon Conway,Batsman,10000000,Overseas
232,Dewald Brevis,Batsman,30000000,Overseas
235,Dhawal Kulkarni,Bowler,7500000,Indian
236,Dhruv Jurel,Wicket Keeper,2000000,Indian
237,Dhruv Shorey,All-Rounder,2000000,Indian
238,Digvijay Deshmukh,All-Rounder,2000000,Indian
243,Dinesh Karthik,Wicket Keeper,55000000,Indian
244,Dinesh Salunkhe,All-Rounder,1000000,Indian
245,Dirk Nannes,Bowler,45000000,Overseas
246,Dishant Yagnik,Wicket Keeper,3000000,Indian
247,Dominic Drakes,All-Rounder,11000000,Overseas
248,Domnic Muthuswami,Bowler,7500000,Overseas
249,Dushmantha Chameera,Bowler,20000000,Overseas
251,Dwaine Pretorius,All-Rounder,5000000,Overseas
253,Dwayne Bravo,All-Rounder,44000000,Overseas
255,Dwayne Smith,All-Rounder,23000000,Overseas
258,Eklavya Dwivedi,Wicket Keeper,7500000,Indian
261,Eoin Morgan,Batsman,52500000,Overseas
263,Evin Lewis,Batsman,20000000,Overseas
266,Fabian Allen,All-Rounder,7500000,Overseas
269,Faf du Plessis,Batsman,70000000,Overseas
270,Farhaan Behardien,All-Rounder,3000000,Overseas
271,Fazalhaq Farooqi,Bowler,5000000,Overseas
272,Fidel Edwards,Bowler,15750000,Overseas
273,Finn Allen,Batsman,8000000,Overseas
274,Gautam Gambhir,Batsman,28000000,Indian
275,George Bailey,Batsman,32500000,Overseas
280,Glenn Maxwell,All-Rounder,142500000,Overseas
281,Glenn Phillips,Wicket Keeper,15000000,Overseas
282,Gurinder Sandhu,Bowler,17000000,Indian
